NOTE:,For agents count higher than 15, montecarlo isnt generated


GAUSS_SEIDEL_MINUS14
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,
16,6.023198606541769E-11,3.3141543031030893E-12,0.0,72.43490068500002,200,
17,6.232959981478103E-11,3.93569496469938E-12,0.0,99.81428929500005,200,
18,5.805440850270571E-11,3.143799007385763E-12,0.0,126.61386721,200,
19,5.985337225844489E-11,3.643573715108508E-12,0.0,176.4787193400001,200,
20,5.567225153102484E-11,2.9726680339120194E-12,0.0,217.7539531,200,
21,5.7289298305285286E-11,3.382158071249541E-12,0.0,276.908966545,200,
22,5.33377439437821E-11,2.797663762270655E-12,0.0,348.50243910999984,200,
23,5.482558851355179E-11,3.1403154596002355E-12,0.0,438.16569714999986,200,
24,5.87114801220423E-11,3.0239971808449107E-12,0.0,543.7360530000001,200,
25,5.993548712890373E-11,3.337787252644001E-12,0.0,667.605464745,200,
26,5.6580851115484165E-11,2.8227611386365456E-12,0.0,832.5513606050001,200,
27,5.691666582485766E-11,3.0905788305150927E-12,0.0,1014.0947198749999,200,
28,5.4827864470752274E-11,2.6416359769202155E-12,0.0,1252.769933115,200,
29,5.7816335052862655E-11,2.707568295956461E-12,0.0,1559.9716153450013,200,
30,5.913930456458161E-11,2.764215417157572E-12,0.0,2403.8202399100005,200,

GAUSS_SEIDEL_MINUS6
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

3,0.0,0.0,1.2133333333322338E-4,0.10137588000000006,200,
4,5.726623060198222E-7,3.817748706798807E-8,2.1160793414307853E-4,0.3066819,200,
5,4.1075864787298855E-7,5.8679799658234444E-8,1.017278130321823E-4,0.291751415,200,
6,6.121958819604867E-7,3.1079001340602675E-8,7.767896920036533E-5,0.41085384000000047,200,
7,6.329563964346807E-7,5.7322667939550015E-8,1.5290069745646464E-5,0.8484994250000001,200,
8,6.968886356595316E-7,3.8825992779166554E-8,8.264220000230753E-5,1.590795960000001,200,
9,4.5942031093315627E-7,3.10910800569397E-8,4.418023905177591E-6,2.7540468750000002,200,
10,5.550710078239263E-7,4.529221741455879E-8,7.244870635010741E-5,4.524466464999999,200,
11,5.127593257492347E-7,3.749847126783089E-8,6.26612565368159E-5,7.234797185000002,200,
12,5.441881190115794E-7,4.3190788931002015E-8,1.561846063568998E-5,11.168629819999992,200,
13,6.906732424316608E-7,4.7424661161871514E-8,4.498057544103844E-5,16.542690805000007,200,
14,6.3616891241014E-7,3.547537176453913E-8,6.924309737078166E-6,22.938400784999995,200,
15,6.455971859331555E-7,4.248696563835556E-8,5.3424203676627995E-5,31.828133199999993,200,
16,5.919179385110995E-7,3.2569181397787484E-8,0.0,44.391668064999955,200,
17,6.015428241495924E-7,3.798341176369867E-8,0.0,60.14572638499997,200,
18,5.519198747749865E-7,2.98879407859596E-8,0.0,76.45427140500003,200,
19,5.618532026990808E-7,3.420284366226E-8,0.0,106.37704764499999,200,
20,5.790741812172762E-7,3.547810460600751E-8,0.0,129.3301713000001,200,
21,6.185603444036625E-7,3.651761125488744E-8,0.0,165.5844301100001,200,
22,5.665820508593544E-7,2.971826449031104E-8,0.0,206.07789788000005,200,
23,5.739833926904359E-7,3.28767585725629E-8,0.0,261.99835025999994,200,
24,5.285194871196275E-7,2.7221951811611758E-8,0.0,327.0175615049999,200,
25,6.121035299178068E-7,3.4087838236959474E-8,0.0,397.4038935100001,200,
26,5.717072193156536E-7,2.852188084145564E-8,0.0,494.91813698,200,
27,5.695313879672259E-7,3.09256461190082E-8,0.0,601.4716281399998,200,
28,5.437672563890494E-7,2.6198983211932825E-8,0.0,738.85603721,200,
29,5.968901673619742E-7,3.1617621810817564E-8,0.0,898.3329218600002,200,
30,5.773766942607228E-7,2.6986999925130965E-8,0.0,1339.83765073,200,

JACOBIAN_MINUS14
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

