NOTE:,For agents count higher than 15, montecarlo isnt generated


JACOBIAN_MINUS10
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

30,2.7755575615628914E-16,4.53087655077593E-18,0.0,556.703842,1,
31,2.7755575615628914E-16,5.320910086212416E-18,0.0,718.200462,1,
32,3.885780586188048E-16,3.2078066699716674E-19,0.0,1297.612785,1,
33,2.7755575615628914E-16,1.7181234796994539E-18,0.0,1593.860646,1,
34,2.220446049250313E-16,5.668491753062901E-18,0.0,1171.807407,1,
35,2.3592239273284576E-16,2.4540438865877253E-19,0.0,1419.570865,1,
36,3.3306690738754696E-16,8.493026805018266E-19,0.0,1727.255535,1,
37,2.7755575615628914E-16,5.974282616226999E-19,0.0,1968.276033,1,
38,2.7755575615628914E-16,3.996484587417681E-19,0.0,2223.753498,1,
39,3.3306690738754696E-16,7.072098502143454E-19,0.0,2711.652027,1,
40,2.7755575615628914E-16,2.150519782846756E-18,0.0,3252.394337,1,
41,2.7755575615628914E-16,2.1267950024732945E-18,0.0,3511.948202,1,
42,3.3306690738754696E-16,1.273906791924237E-18,0.0,4145.513916,1,
43,2.7755575615628914E-16,7.19915580507913E-19,0.0,4677.280408,1,
44,3.3306690738754696E-16,5.347929525295378E-19,0.0,5795.110047,1,
45,3.3306690738754696E-16,7.871623779605821E-19,0.0,7102.825462,1,
46,3.0531133177191805E-16,1.1542410147153457E-18,0.0,8084.755416,1,
47,3.0531133177191805E-16,4.2264154349770416E-19,0.0,8497.87698,1,
48,3.3306690738754696E-16,5.932453068473573E-20,0.0,10264.656982,1,
49,3.885780586188048E-16,7.889913100732253E-19,0.0,12536.164813,1,
50,4.996003610813204E-16,1.33252294869226E-18,0.0,11952.782545,1,

GAUSS_SEIDEL_MINUS6
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

30,5.773766942607228E-7,2.6986999925131034E-8,0.0,1193.060721,1,
31,5.644546679228757E-7,2.8876408096667672E-8,0.0,1516.936198,1,
32,5.890150953785644E-7,2.911218713233716E-8,0.0,1906.790236,1,
33,5.924576482740918E-7,2.9299360207050374E-8,0.0,2219.835655,1,
34,5.723326331613654E-7,2.5435008350563367E-8,0.0,2250.116653,1,
35,5.620987041932146E-7,2.6955679256275936E-8,0.0,2535.355419,1,
36,5.933836599164577E-7,2.5793443345412608E-8,0.0,2850.188858,1,
37,5.831373030978915E-7,2.7197013408603915E-8,0.0,3302.809263,1,
38,5.619759701758209E-7,2.3944310345456014E-8,0.0,3851.17745,1,
39,6.010001057238368E-7,2.7335815537711568E-8,0.0,4584.27373,1,
40,5.782626298633797E-7,2.417491099016921E-8,0.0,6046.019962,1,
41,5.702332939866439E-7,2.533595073627153E-8,0.0,5603.601715,1,
42,5.921506445599745E-7,2.4318780800260337E-8,0.0,6804.488551,1,
43,5.842236683040181E-7,2.5399081404978692E-8,0.0,7298.408613,1,
44,5.620968819702865E-7,2.2705996898579035E-8,0.0,8654.693188,1,
45,5.961742096660672E-7,2.5402899141872037E-8,0.0,9123.304069,1,
46,5.732642782557695E-7,2.279157176227506E-8,0.0,10199.919937,1,
47,5.670460778012254E-7,2.370494280627155E-8,0.0,13621.503193,1,
48,5.828473087221564E-7,2.2824076901112782E-8,0.0,15274.323301,1,
49,5.767454584748588E-7,2.3679826901963846E-8,0.0,14381.819118,1,
50,5.910371045081408E-7,2.2815866343584146E-8,0.0,16385.610036,1,

GAUSS_SEIDEL_MINUS14
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

30,5.953570969552402E-15,3.0075500371834113E-16,0.0,2894.099934,1,
31,6.022959908591474E-15,3.073239311340994E-16,0.0,3511.149208,1,
32,5.9396931817445875E-15,2.6901427664371E-16,0.0,4494.97873,1,
33,5.828670879282072E-15,2.8997232634438714E-16,0.0,5286.929751,1,
34,5.814793091474257E-15,2.5468158751650197E-16,0.0,5144.777647,1,
35,5.7592819402429996E-15,2.755614196731432E-16,0.0,5994.595536,1,
36,5.592748486549226E-15,2.4525114971433935E-16,0.0,7279.730023,1,
37,5.9119376061289586E-15,2.6709274785962203E-16,0.0,7875.081104,1,
38,5.898059818321144E-15,2.5223481127268003E-16,0.0,9165.649745,1,
39,5.898059818321144E-15,2.667128443062536E-16,0.0,11707.564291,1,
40,5.703770789011742E-15,2.4125782687284054E-16,0.0,11421.1198,1,
41,5.773159728050814E-15,2.5550359854897887E-16,0.0,13536.160143,1,
42,5.703770789011742E-15,2.444664841624751E-16,0.0,16887.890895,1,
43,5.648259637780484E-15,2.3460257149668813E-16,0.0,16601.781743,1,
44,5.800915303666443E-15,2.363440881177636E-16,0.0,23056.906954,1,
45,5.828670879282072E-15,2.4765075670602186E-16,0.0,22496.941752,1,
46,5.6343818499726694E-15,2.251808516645798E-16,0.0,28377.499665,1,
47,5.745404152435185E-15,2.27531961350408E-16,0.0,33572.991648,1,
48,5.856426454897701E-15,2.302220131289806E-16,0.0,35159.942063,1,
49,5.828670879282072E-15,2.403078273352767E-16,0.0,39474.817673,1,
50,5.689893001203927E-15,2.1910109364053867E-16,0.0,39413.071768,1,
